Date,Open,High,Low,Close,Volume
2008-04-04,4.58042,4.6554,4.53715,4.60663,1013634722
2008-04-07,4.70013,4.80512,4.66764,4.69129,1374502937
2008-04-08,4.61835,4.70792,4.58404,4.60001,1203110641
2008-04-09,4.61431,4.63147,4.52838,4.55675,1036448672
2008-04-10,4.54739,4.67679,4.53222,4.65127,1134239637
2008-04-11,4.59331,4.61275,4.40559,4.42784,1428741854
2008-04-14,4.41346,4.49121,4.34979,4.44718,1002837553
2008-04-15,4.49596,4.50541,4.38528,4.46549,824961682
2008-04-16,4.56633,4.63756,4.53301,4.62526,943393697
2008-04-17,4.64033,4.69452,4.61431,4.64981,834440913
2008-04-18,4.78629,4.88337,4.76617,4.84602,1217810356
2008-04-21,4.8859,5.07001,4.86828,5.06066,1231968171
2008-04-22,5.03886,5.05582,4.7572,4.82077,1703052451
2008-04-23,4.93715,4.96024,4.8472,4.90177,1785133582
2008-04-24,4.97601,5.11545,4.79121,5.08409,2014257760
2008-04-25,5.13681,5.14965,5.00791,5.10803,1177839176
2008-04-28,5.10873,5.22867,5.08991,5.18314,933505953
2008-04-29,5.14993,5.28623,5.12313,5.2681,1094679059
2008-04-30,5.30228,5.41681,5.20374,5.23449,1350859662
2008-05-01,5.26522,5.41681,5.26227,5.41681,1070812669
2008-05-02,5.42262,5.47356,5.37274,5.44547,1181903864
2008-05-05,5.47356,5.57645,5.44894,5.55901,1013240200
2008-05-06,5.55724,5.63066,5.48213,5.61754,1089177429
2008-05-07,5.59892,5.66426,5.52737,5.54807,832954052
2008-05-08,5.52964,5.61262,5.50934,5.56926,1066220614
2008-05-09,5.5123,5.54482,5.45791,5.52059,798293504
2008-05-12,5.57387,5.68358,5.50274,5.66268,971356763
2008-05-13,5.67561,5.76122,5.65321,5.71707,975045273
2008-05-14,5.75661,5.78519,5.58494,5.60524,1087018816
2008-05-15,5.6205,5.71494,5.54335,5.70968,1035461609
2008-05-16,5.72675,5.72675,5.62741,5.64632,907968781
2008-05-19,5.6545,5.67846,5.45594,5.52471,1122420354
2008-05-20,5.4711,5.60227,5.42035,5.5946,1149998209
2008-05-21,5.58564,5.65767,5.30367,5.36249,1372860878
2008-05-22,5.39245,5.45701,5.17635,5.32831,1432042804
2008-05-23,5.43967,5.47584,5.35019,5.45228,1076369144
2008-05-27,5.50137,5.61064,5.4713,5.61064,936680286
2008-05-28,5.64211,5.65619,5.52806,5.62769,882192029
2008-05-29,5.62502,5.66426,5.58245,5.61803,767328539
2008-05-30,5.64239,5.70408,5.63874,5.68011,723118067
2008-06-02,5.67293,5.70743,5.55339,5.6002,805898883
2008-06-03,5.62417,5.66426,5.48787,5.57835,890678931
2008-06-04,5.53693,5.62997,5.51429,5.5732,862745047
2008-06-05,5.60524,5.71335,5.58857,5.70033,894513590
2008-06-06,5.65767,5.71657,5.58424,5.58692,1144916502
2008-06-09,5.56513,5.56591,5.28841,5.46529,2239495013
2008-06-10,5.42754,5.6205,5.38754,5.58692,1353406043
2008-06-11,5.54747,5.59735,5.4038,5.44165,1140212187
2008-06-12,5.46047,5.49593,5.15247,5.214,1550699750
2008-06-13,5.16118,5.24109,4.97501,5.18709,1596563699
2008-06-16,5.15407,5.35324,5.08816,5.32201,1247372406
2008-06-17,5.362,5.47584,5.33905,5.45968,1067523033
2008-06-18,5.44716,5.48292,5.33748,5.37964,962453206
2008-06-19,5.37077,5.48787,5.32072,5.44407,939810466
